ID, Label, Cnt, Name
115,2,71,Philip S. Yu 
239,1,4,Jianying Hu 
578,2,6,Dan Roth 
593,1,13,Dacheng Tao 
822,2,80,Jiawei Han 0001 
972,2,8,Xuanhui Wang 
1113,2,36,Fei Wang 0001 
1449,2,30,Huan Liu 0001 
1648,2,56,Jieping Ye 
1707,2,10,Jun Liu 0003 
1892,2,13,Chuanren Liu 
1894,2,62,Hui Xiong 0001 
20808,2,3,Yun Fu 0001 
21185,2,4,Jinfeng Yi 
22051,2,6,Guo-Jun Qi 
22964,2,2,Yalin Wang 0001 
27294,2,4,Paul M. Thompson 
30191,2,11,Haifeng Chen 
34333,2,5,Hongfu Liu 0001 
36030,2,6,Dongjin Song 
43299,2,7,Bo Zhao 0001 
43309,1,13,ChengXiang Zhai 
59666,2,5,Meng Qu 
60098,1,2,Vaibhav A. Narayan 
60736,2,22,Jiayu Zhou 
84529,2,4,Dongwon Lee 0001 
97974,2,39,Hanghang Tong 
100583,1,4,Deepak S. Turaga 
101301,2,2,Limeng Cui 
106398,2,22,Aidong Zhang 
130176,2,8,Hong Cheng 0001 
144477,2,36,Charu C. Aggarwal 
145479,2,10,Hongning Wang 
146562,2,6,Heng Ji 
159562,2,62,Christos Faloutsos 
159797,2,20,Jing Gao 0004 
160153,2,6,Wei Cheng 0002 
160226,2,14,Chao Zhang 0014 
160602,2,2,Zijun Yao 0001 
160688,2,26,Wei Fan 0001 
161681,2,10,Neil Shah 
161695,2,10,Fenglong Ma 
162455,1,6,Kai Shu 
162535,2,4,Jiaming Shen 
162581,2,30,Jimeng Sun 0001 
163189,2,3,Yu Shi 0002 
164032,1,5,Sihong Xie 
164644,2,14,Xiangnan Kong 
165047,2,9,Cao Xiao 
165993,2,6,Ruocheng Guo 
169469,2,6,Yanchi Liu 
180463,2,5,Wei Ding 0003 
205058,2,5,Mengying Sun 
213660,2,2,Zhiang Wu 0001 
213661,2,3,Jie Cao 0001 
270231,2,17,Meng Jiang 0001 
271105,2,12,Suhang Wang 
272505,2,16,Yanjie Fu 
273533,2,6,Yaqing Wang 
273596,2,3,Qi Zhu 0008 
274079,1,2,Bin Liu 0045 
274888,2,2,Houping Xiao 
275309,2,7,Boxin Du 
277650,2,4,Mengdi Huai 
277803,2,3,John Boaz Lee 
278277,1,4,Qi Li 0012 
278758,2,3,Haoyu Wang 0004 
280278,1,6,Kishlay Jha 
317809,2,13,Junjie Wu 0002 
319349,1,3,Fengyi Tang 
321260,2,5,Lihui Liu 
322486,1,2,Fang Guo 
331117,2,4,Yunyi Zhang 
725071,2,2,Hiroko H. Dodge 
960514,2,3,Aude Hofleitner 
1199622,2,7,Lei Yuan 0001 
